User ID,Gender,Age,EstimatedSalary,Purchased
15631912,Female,28.0,85000.0,0
15768816,Male,26.0,81000.0,0
15682268,Male,35.0,50000.0,0
15684801,Male,22.0,81000.0,0
15636428,Female,30.0,116000.0,0
15809823,Male,26.0,15000.0,0
15699284,Female,29.0,28000.0,0
15786993,Female,29.0,83000.0,0
15709441,Female,35.0,44000.0,0
15710257,Female,35.0,25000.0,0
15582492,Male,28.0,123000.0,1
15575694,Male,35.0,73000.0,0
15756820,Female,28.0,37000.0,0
15766289,Male,27.0,88000.0,0
15593014,Male,28.0,59000.0,0
15584545,Female,32.0,86000.0,0
15675949,Female,33.0,149000.0,1
15672091,Female,19.0,21000.0,0
15801658,Male,21.0,72000.0,0
15706185,Female,26.0,35000.0,0
15789863,Male,27.0,89000.0,0
15720943,Male,26.0,86000.0,0
15697997,Female,38.0,80000.0,0
15665416,Female,39.0,71000.0,0
15660200,Female,37.0,71000.0,0
15619653,Male,38.0,61000.0,0
15773447,Male,37.0,55000.0,0
15739160,Male,42.0,80000.0,0
15689237,Male,40.0,57000.0,0
15679297,Male,35.0,75000.0,0
15591433,Male,36.0,52000.0,0
15642725,Male,40.0,59000.0,0
15701962,Male,41.0,59000.0,0
15811613,Female,36.0,75000.0,0
15741049,Male,37.0,72000.0,0
15724423,Female,40.0,75000.0,0
15574305,Male,35.0,53000.0,0
15678168,Female,41.0,51000.0,0
15697020,Female,39.0,61000.0,0
15610801,Male,42.0,65000.0,0
15745232,Male,26.0,32000.0,0
15722758,Male,30.0,17000.0,0
15792102,Female,26.0,84000.0,0
15675185,Male,31.0,58000.0,0
15801247,Male,33.0,31000.0,0
15725660,Male,30.0,87000.0,0
15638963,Female,21.0,68000.0,0
15800061,Female,28.0,55000.0,0
15578006,Male,23.0,63000.0,0
15668504,Female,20.0,82000.0,0
15687491,Male,30.0,107000.0,1
15610403,Female,28.0,59000.0,0
15741094,Male,19.0,25000.0,0
15807909,Male,19.0,85000.0,0
15666141,Female,18.0,68000.0,0
15617134,Male,35.0,59000.0,0
15783029,Male,30.0,89000.0,0
15622833,Female,34.0,25000.0,0
15746422,Female,24.0,89000.0,0
15750839,Female,27.0,96000.0,1
15749130,Female,41.0,30000.0,0
15779862,Male,29.0,61000.0,0
15767871,Male,20.0,74000.0,0
15679651,Female,26.0,15000.0,0
15576219,Male,41.0,45000.0,0
15699247,Male,31.0,76000.0,0
15619087,Female,36.0,50000.0,0
15605327,Male,40.0,47000.0,0
15610140,Female,31.0,15000.0,0
15791174,Male,46.0,59000.0,0
15602373,Male,29.0,75000.0,0
15762605,Male,26.0,30000.0,0
15598840,Female,32.0,135000.0,1
15744279,Male,32.0,100000.0,1
15670619,Male,25.0,90000.0,0
15599533,Female,37.0,33000.0,0
15757837,Male,35.0,38000.0,0
15697574,Female,33.0,69000.0,0
15578738,Female,18.0,86000.0,0
15762228,Female,22.0,55000.0,0
15614827,Female,35.0,71000.0,0
15789815,Male,29.0,148000.0,1
15579781,Female,29.0,47000.0,0
15587013,Male,21.0,88000.0,0
15570932,Male,34.0,115000.0,0
15794661,Female,26.0,118000.0,0
15581654,Female,34.0,43000.0,0
15644296,Female,34.0,72000.0,0
15614420,Female,23.0,28000.0,0
15609653,Female,35.0,47000.0,0
15594577,Male,25.0,22000.0,0
15584114,Male,24.0,23000.0,0
15673367,Female,31.0,34000.0,0
15685576,Male,26.0,16000.0,0
15774727,Female,31.0,71000.0,0
15694288,Female,32.0,117000.0,1
15603319,Male,33.0,43000.0,0
15759066,Female,33.0,60000.0,0
15814816,Male,31.0,66000.0,0
15724402,Female,20.0,82000.0,0
15571059,Female,33.0,41000.0,0
15674206,Male,35.0,72000.0,0
15715160,Male,28.0,32000.0,0
15730448,Male,24.0,84000.0,0
15662067,Female,19.0,26000.0,0
15779581,Male,29.0,43000.0,0
15662901,Male,19.0,70000.0,0
15689751,Male,28.0,89000.0,0
15667742,Male,34.0,43000.0,0
15738448,Female,30.0,79000.0,0
15680243,Female,20.0,36000.0,0
15745083,Male,26.0,80000.0,0
15708228,Male,35.0,22000.0,0
15628523,Male,35.0,39000.0,0
15708196,Male,49.0,74000.0,0
15735549,Female,39.0,134000.0,1
15809347,Female,41.0,71000.0,0
15660866,Female,58.0,101000.0,1
15766609,Female,47.0,47000.0,0
15654230,Female,55.0,130000.0,1
15794566,Female,52.0,114000.0,0
15800890,Female,40.0,142000.0,1
15697424,Female,46.0,22000.0,0
15724536,Female,48.0,96000.0,1
15735878,Male,52.0,150000.0,1
15707596,Female,59.0,42000.0,0
15657163,Male,35.0,58000.0,0
15622478,Male,47.0,43000.0,0
15779529,Female,60.0,108000.0,1
15636023,Male,49.0,65000.0,0
15582066,Male,40.0,78000.0,0
15666675,Female,46.0,96000.0,0
15732987,Male,59.0,143000.0,1
15789432,Female,41.0,80000.0,0
15663161,Male,35.0,91000.0,1
15694879,Male,37.0,144000.0,1
15593715,Male,60.0,102000.0,1
15575002,Female,35.0,60000.0,0
15622171,Male,37.0,53000.0,0
15795224,Female,36.0,126000.0,1
15685346,Male,56.0,133000.0,1
15691808,Female,40.0,72000.0,0
15721007,Female,42.0,80000.0,1
15794253,Female,35.0,147000.0,1
15694453,Male,39.0,42000.0,0
15813113,Male,40.0,107000.0,1
15614187,Male,49.0,86000.0,1
15619407,Female,38.0,112000.0,0
15646227,Male,46.0,79000.0,1
15660541,Male,40.0,57000.0,0
15753874,Female,37.0,80000.0,0
15617877,Female,46.0,82000.0,0
15772073,Female,53.0,143000.0,1
15701537,Male,42.0,149000.0,1
15736228,Male,38.0,59000.0,0
15780572,Female,50.0,88000.0,1
15769596,Female,56.0,104000.0,1
15586996,Female,41.0,72000.0,0
15722061,Female,51.0,146000.0,1
15638003,Female,35.0,50000.0,0
15775590,Female,57.0,122000.0,1
15730688,Male,41.0,52000.0,0
15753102,Female,35.0,97000.0,1
15810075,Female,44.0,39000.0,0
15723373,Male,37.0,52000.0,0
15795298,Female,48.0,134000.0,1
15584320,Female,37.0,146000.0,1
15724161,Female,50.0,44000.0,0
15750056,Female,52.0,90000.0,1
15609637,Female,41.0,72000.0,0
15794493,Male,40.0,57000.0,0
15569641,Female,58.0,95000.0,1
15815236,Female,45.0,131000.0,1
15811177,Female,35.0,77000.0,0
15680587,Male,36.0,144000.0,1
15672821,Female,55.0,125000.0,1
15767681,Female,35.0,72000.0,0
15600379,Male,48.0,90000.0,1
15801336,Female,42.0,108000.0,1
15721592,Male,40.0,75000.0,0
15581282,Male,37.0,74000.0,0
15746203,Female,47.0,144000.0,1
15583137,Male,40.0,61000.0,0
15680752,Female,43.0,133000.0,0
15688172,Female,59.0,76000.0,1
15791373,Male,60.0,42000.0,1
15589449,Male,39.0,106000.0,1
15692819,Female,57.0,26000.0,1
15727467,Male,57.0,74000.0,1
15734312,Male,38.0,71000.0,0
15764604,Male,49.0,88000.0,1
15613014,Female,52.0,38000.0,1
15759684,Female,50.0,36000.0,1
15609669,Female,59.0,88000.0,1
15685536,Male,35.0,61000.0,0
15750447,Male,37.0,70000.0,1
15663249,Female,52.0,21000.0,1
15638646,Male,48.0,141000.0,0
15734161,Female,37.0,93000.0,1
15631070,Female,37.0,62000.0,0
15761950,Female,48.0,138000.0,1
15649668,Male,41.0,79000.0,0
15713912,Female,37.0,78000.0,1
15586757,Male,39.0,134000.0,1
15596522,Male,49.0,89000.0,1
15625395,Male,55.0,39000.0,1
15760570,Male,37.0,77000.0,0
15566689,Female,35.0,57000.0,0
15725794,Female,36.0,63000.0,0
15673539,Male,42.0,73000.0,1
15705298,Female,43.0,112000.0,1
15675791,Male,45.0,79000.0,0
15747043,Male,46.0,117000.0,1
15736397,Female,58.0,38000.0,1
15678201,Male,48.0,74000.0,1
15720745,Female,37.0,137000.0,1
15637593,Male,37.0,79000.0,1
15598070,Female,40.0,60000.0,0
15787550,Male,42.0,54000.0,0
15603942,Female,51.0,134000.0,0
15733973,Female,47.0,113000.0,1
15596761,Male,36.0,125000.0,1
15652400,Female,38.0,50000.0,0
15717893,Female,42.0,70000.0,0
15622585,Male,39.0,96000.0,1
15733964,Female,38.0,50000.0,0
15753861,Female,49.0,141000.0,1
15747097,Female,39.0,79000.0,0
15594762,Female,39.0,75000.0,1
15667417,Female,54.0,104000.0,1
15684861,Male,35.0,55000.0,0
15742204,Male,45.0,32000.0,1
15623502,Male,36.0,60000.0,0
15774872,Female,52.0,138000.0,1
15611191,Female,53.0,82000.0,1
15674331,Male,41.0,52000.0,0
15619465,Female,48.0,30000.0,1
15575247,Female,48.0,131000.0,1
15695679,Female,41.0,60000.0,0
15713463,Male,41.0,72000.0,0
15785170,Female,42.0,75000.0,0
15796351,Male,36.0,118000.0,1
15639576,Female,47.0,107000.0,1
15693264,Male,38.0,51000.0,0
15589715,Female,48.0,119000.0,1
15769902,Male,42.0,65000.0,0
15587177,Male,40.0,65000.0,0
15814553,Male,57.0,60000.0,1
15601550,Female,36.0,54000.0,0
15664907,Male,58.0,144000.0,1
15612465,Male,35.0,79000.0,0
15810800,Female,38.0,55000.0,0
15665760,Male,39.0,122000.0,1
15588080,Female,53.0,104000.0,1
15776844,Male,35.0,75000.0,0
15717560,Female,38.0,65000.0,0
15629739,Female,47.0,51000.0,1
15729908,Male,47.0,105000.0,1
15716781,Female,41.0,63000.0,0
15646936,Male,53.0,72000.0,1
15768151,Female,54.0,108000.0,1
15579212,Male,39.0,77000.0,0
15721835,Male,38.0,61000.0,0
15800515,Female,38.0,113000.0,1
15591279,Male,37.0,75000.0,0
15587419,Female,42.0,90000.0,1
15750335,Female,37.0,57000.0,0
15699619,Male,36.0,99000.0,1
15606472,Male,60.0,34000.0,1
15778368,Male,54.0,70000.0,1
15671387,Female,41.0,72000.0,0
15573926,Male,40.0,71000.0,1
15709183,Male,42.0,54000.0,0
15577514,Male,43.0,129000.0,1
15778830,Female,53.0,34000.0,1
15768072,Female,47.0,50000.0,1
15768293,Female,42.0,79000.0,0
15654456,Male,42.0,104000.0,1
15807525,Female,59.0,29000.0,1
15574372,Female,58.0,47000.0,1
15671249,Male,46.0,88000.0,1
15779744,Male,38.0,71000.0,0
15624755,Female,54.0,26000.0,1
15611430,Female,60.0,46000.0,1
15774744,Male,60.0,83000.0,1
15629885,Female,39.0,73000.0,0
15708791,Male,59.0,130000.0,1
15793890,Female,37.0,80000.0,0
15646091,Female,46.0,32000.0,1
15596984,Female,46.0,74000.0,0
15800215,Female,42.0,53000.0,0
15577806,Male,41.0,87000.0,1
15749381,Female,58.0,23000.0,1
15683758,Male,42.0,64000.0,0
15670615,Male,48.0,33000.0,1
15715622,Female,44.0,139000.0,1
15707634,Male,49.0,28000.0,1
15806901,Female,57.0,33000.0,1
15775335,Male,56.0,60000.0,1
15724150,Female,49.0,39000.0,1
15627220,Male,39.0,71000.0,0
15672330,Male,47.0,34000.0,1
15668521,Female,48.0,35000.0,1
15807837,Male,48.0,33000.0,1
15592570,Male,47.0,23000.0,1
15748589,Female,45.0,45000.0,1
15635893,Male,60.0,42000.0,1
15757632,Female,39.0,59000.0,0
15691863,Female,46.0,41000.0,1
15706071,Male,51.0,23000.0,1
15654296,Female,50.0,20000.0,1
15755018,Male,36.0,33000.0,0
15594041,Female,49.0,36000.0,1
